system,nodes,ppn,matrix,backend,solver_time
Tuolumne,4,1,audikw_1,mpi-no-ipc,1.129892
Tuolumne,4,1,Bump_2911,mpi-no-ipc,9.024386
Tuolumne,4,1,Queen_4147,mpi-no-ipc,17.352165
Tuolumne,4,1,Serena,mpi-no-ipc,0.790227
Tuolumne,4,2,audikw_1,mpi-no-ipc,1.248615
Tuolumne,4,2,Bump_2911,mpi-no-ipc,12.647741
Tuolumne,4,2,Queen_4147,mpi-no-ipc,14.689160
Tuolumne,4,2,Serena,mpi-no-ipc,1.122842
Tuolumne,4,4,audikw_1,mpi-no-ipc,1.499493
Tuolumne,4,4,Bump_2911,mpi-no-ipc,10.284917
Tuolumne,4,4,Queen_4147,mpi-no-ipc,14.398779
Tuolumne,4,4,Serena,mpi-no-ipc,1.148508
Tuolumne,8,1,audikw_1,mpi-no-ipc,0.775799
Tuolumne,8,1,Bump_2911,mpi-no-ipc,5.398067
Tuolumne,8,1,Queen_4147,mpi-no-ipc,11.462811
Tuolumne,8,1,Serena,mpi-no-ipc,0.588528
Tuolumne,8,2,audikw_1,mpi-no-ipc,1.203753
Tuolumne,8,2,Bump_2911,mpi-no-ipc,9.868268
Tuolumne,8,2,Queen_4147,mpi-no-ipc,10.658942
Tuolumne,8,2,Serena,mpi-no-ipc,1.011166
Tuolumne,8,4,audikw_1,mpi-no-ipc,1.094718
Tuolumne,8,4,Bump_2911,mpi-no-ipc,7.985894
Tuolumne,8,4,Queen_4147,mpi-no-ipc,10.824743
Tuolumne,8,4,Serena,mpi-no-ipc,0.858660
Tuolumne,16,1,audikw_1,mpi-no-ipc,0.675599
Tuolumne,16,1,Bump_2911,mpi-no-ipc,4.372977
Tuolumne,16,1,Queen_4147,mpi-no-ipc,6.594971
Tuolumne,16,1,Serena,mpi-no-ipc,0.528273
Tuolumne,16,2,audikw_1,mpi-no-ipc,1.021622
Tuolumne,16,2,Bump_2911,mpi-no-ipc,7.064204
Tuolumne,16,2,Queen_4147,mpi-no-ipc,9.169688
Tuolumne,16,2,Serena,mpi-no-ipc,0.816029
Tuolumne,16,4,audikw_1,mpi-no-ipc,1.027850
Tuolumne,16,4,Bump_2911,mpi-no-ipc,6.732478
Tuolumne,16,4,Queen_4147,mpi-no-ipc,8.005534
Tuolumne,16,4,Serena,mpi-no-ipc,0.811543
Tuolumne,1,1,audikw_1,mpi-no-ipc,2.678998
Tuolumne,1,1,Bump_2911,mpi-no-ipc,23.040682
Tuolumne,1,1,Queen_4147,mpi-no-ipc,57.796787
Tuolumne,1,1,Serena,mpi-no-ipc,1.756516
Tuolumne,1,2,audikw_1,mpi-no-ipc,1.869090
Tuolumne,1,2,Bump_2911,mpi-no-ipc,16.259426
Tuolumne,1,2,Queen_4147,mpi-no-ipc,31.608605
Tuolumne,1,2,Serena,mpi-no-ipc,1.482055
Tuolumne,1,4,audikw_1,mpi-no-ipc,1.484390
Tuolumne,1,4,Bump_2911,mpi-no-ipc,18.767698
Tuolumne,1,4,Queen_4147,mpi-no-ipc,22.421533
Tuolumne,1,4,Serena,mpi-no-ipc,1.520145
Tuolumne,2,1,audikw_1,mpi-no-ipc,1.785523
Tuolumne,2,1,Bump_2911,mpi-no-ipc,13.220981
Tuolumne,2,1,Queen_4147,mpi-no-ipc,31.174404
Tuolumne,2,1,Serena,mpi-no-ipc,1.182596
Tuolumne,2,2,audikw_1,mpi-no-ipc,1.334699
Tuolumne,2,2,Bump_2911,mpi-no-ipc,15.616383
Tuolumne,2,2,Queen_4147,mpi-no-ipc,20.610025
Tuolumne,2,2,Serena,mpi-no-ipc,1.138153
Tuolumne,2,4,audikw_1,mpi-no-ipc,1.512453
Tuolumne,2,4,Bump_2911,mpi-no-ipc,15.441399
Tuolumne,2,4,Queen_4147,mpi-no-ipc,17.491181
Tuolumne,2,4,Serena,mpi-no-ipc,1.333050
Tuolumne,4,1,audikw_1,mpi-no-ipc,1.096451
Tuolumne,4,1,Bump_2911,mpi-no-ipc,8.963937
Tuolumne,4,1,Queen_4147,mpi-no-ipc,17.290323
Tuolumne,4,1,Serena,mpi-no-ipc,0.777338
