GPU,Backend,Buffering,Iters,Items,Time
MI250,cxi-fine,db,100000,32768,3.56279
MI250,cxi-fine,sb,100000,32768,3.81576
MI250,mpi,db,100000,32768,6.68559
MI250,mpi,sb,100000,32768,6.55386
MI250,cxi-coarse,db,100000,65536,5.16874
MI250,cxi-coarse,sb,100000,65536,5.36596
MI250,cxi-fine,db,100000,65536,4.89541
MI250,cxi-fine,sb,100000,65536,5.15254
MI250,mpi,db,100000,65536,8.14113
MI250,mpi,sb,100000,65536,7.7507
MI250,cxi-coarse,db,100000,131072,7.90025
MI250,cxi-coarse,sb,100000,131072,7.98211
MI250,cxi-fine,db,100000,131072,7.6309
MI250,cxi-fine,sb,100000,131072,7.82899
MI250,mpi,db,100000,131072,10.4241
MI250,mpi,sb,100000,131072,10.0608
MI250,cxi-coarse,db,100000,262144,13.2882
MI250,cxi-coarse,sb,100000,262144,13.2727
MI250,cxi-fine,db,100000,262144,13.0035
MI250,cxi-fine,sb,100000,262144,13.1711
MI250,mpi,db,100000,262144,15.15
MI250,mpi,sb,100000,262144,15.0445
MI250,cxi-coarse,db,100000,524288,24.0086
MI250,cxi-coarse,sb,100000,524288,23.9206
MI250,cxi-fine,db,100000,524288,23.6117
MI250,cxi-fine,sb,100000,524288,23.5945
MI250,mpi,db,100000,524288,24.9123
MI250,mpi,sb,100000,524288,24.5838
MI250,cxi-coarse,db,10000,1048576,4.54435
MI250,cxi-coarse,sb,10000,1048576,4.55029
MI250,cxi-fine,db,10000,1048576,4.4848
MI250,cxi-fine,sb,10000,1048576,4.48168
MI250,mpi,db,10000,1048576,4.4259
MI250,mpi,sb,10000,1048576,4.40394
MI250,cxi-coarse,db,10000,2097152,8.80508
MI250,cxi-coarse,sb,10000,2097152,8.81526
MI250,cxi-fine,db,10000,2097152,8.7501
MI250,cxi-fine,sb,10000,2097152,8.7622
MI250,mpi,db,10000,2097152,8.36028
MI250,mpi,sb,10000,2097152,8.33002
MI250,cxi-coarse,db,10000,4194304,17.43
MI250,cxi-coarse,sb,10000,4194304,17.4505
MI250,cxi-fine,db,10000,4194304,17.2887
MI250,cxi-fine,sb,10000,4194304,17.3436
MI250,mpi,db,10000,4194304,16.2041
MI250,mpi,sb,10000,4194304,16.1309
MI250,cxi-coarse,db,10000,8388608,34.5021
MI250,cxi-coarse,sb,10000,8388608,34.5542
MI250,cxi-fine,db,10000,8388608,34.5204
MI250,cxi-fine,sb,10000,8388608,34.4274
MI250,mpi,db,10000,8388608,31.9194
MI250,mpi,sb,10000,8388608,31.8877
MI250,cxi-coarse,db,1000,16777216,6.90031
MI250,cxi-coarse,sb,1000,16777216,6.86381
MI250,cxi-fine,db,1000,16777216,6.86951
MI250,cxi-fine,sb,1000,16777216,6.86053
MI250,mpi,db,1000,16777216,6.37962
MI250,mpi,sb,1000,16777216,6.37742
MI250,cxi-coarse,db,1000,33554432,13.7924
MI250,cxi-coarse,sb,1000,33554432,13.804
MI250,cxi-fine,db,1000,33554432,13.7368
MI250,cxi-fine,sb,1000,33554432,13.6541
MI250,mpi,db,1000,33554432,12.6299
MI250,mpi,sb,1000,33554432,12.6574
MI250,cxi-coarse,db,1000,67108864,27.6062
MI250,cxi-coarse,sb,1000,67108864,27.4825
MI250,cxi-fine,db,1000,67108864,27.491
MI250,cxi-fine,sb,1000,67108864,27.4881
MI250,mpi,db,1000,67108864,25.2149
MI250,mpi,sb,1000,67108864,25.1611
MI250,cxi-coarse,db,1000,134217728,54.8715
MI250,cxi-coarse,sb,1000,134217728,55.0163
MI250,cxi-fine,db,1000,134217728,54.9334
MI250,cxi-fine,sb,1000,134217728,55.0969
MI250,mpi,db,1000,134217728,50.3075
MI250,mpi,sb,1000,134217728,50.3054
MI250,cxi-coarse,db,1000,268435456,110.346
MI250,cxi-coarse,sb,1000,268435456,110.753
MI250,cxi-fine,db,1000,268435456,110.516
MI250,cxi-fine,sb,1000,268435456,110.239
MI250,mpi,db,1000,268435456,100.476
MI250,mpi,sb,1000,268435456,100.515
MI250,cxi-coarse,db,100000,8,1.96066
MI250,cxi-coarse,sb,100000,8,1.93788
MI250,cxi-fine,db,100000,8,1.70214
MI250,cxi-fine,sb,100000,8,1.72357
MI250,mpi,db,100000,8,3.27098
MI250,mpi,sb,100000,8,3.28217
MI250,cxi-coarse,db,100000,16,1.97132
MI250,cxi-coarse,sb,100000,16,1.9288
MI250,cxi-fine,db,100000,16,1.70014
MI250,cxi-fine,sb,100000,16,1.72328
MI250,mpi,db,100000,16,3.28853
MI250,mpi,sb,100000,16,3.2686
MI250,cxi-coarse,db,100000,32,1.96637
MI250,cxi-coarse,sb,100000,32,1.9337
MI250,cxi-fine,db,100000,32,1.71861
MI250,cxi-fine,sb,100000,32,1.72795
MI250,mpi,db,100000,32,3.30421
MI250,mpi,sb,100000,32,3.29747
MI250,cxi-coarse,db,100000,64,1.9761
MI250,cxi-coarse,sb,100000,64,1.94425
MI250,cxi-fine,db,100000,64,1.71918
MI250,cxi-fine,sb,100000,64,1.73715
MI250,mpi,db,100000,64,3.40069
MI250,mpi,sb,100000,64,3.28736
MI250,cxi-coarse,db,100000,128,1.98587
MI250,cxi-coarse,sb,100000,128,1.9673
MI250,cxi-fine,db,100000,128,1.74103
MI250,cxi-fine,sb,100000,128,1.74835
MI250,mpi,db,100000,128,3.33781
MI250,mpi,sb,100000,128,3.41882
MI250,cxi-coarse,db,100000,256,2.00155
MI250,cxi-coarse,sb,100000,256,1.9793
MI250,cxi-fine,db,100000,256,1.75814
MI250,cxi-fine,sb,100000,256,1.76833
MI250,mpi,db,100000,256,3.38578
MI250,mpi,sb,100000,256,3.35913
MI250,cxi-coarse,db,100000,512,2.02479
MI250,cxi-coarse,sb,100000,512,2.00678
MI250,cxi-fine,db,100000,512,1.78514
MI250,cxi-fine,sb,100000,512,1.80511
MI250,mpi,db,100000,512,3.79755
MI250,mpi,sb,100000,512,3.43661
MI250,cxi-coarse,db,100000,1024,2.04071
MI250,cxi-coarse,sb,100000,1024,2.01747
MI250,cxi-fine,db,100000,1024,1.78995
MI250,cxi-fine,sb,100000,1024,1.81302
MI250,mpi,db,100000,1024,3.86323
MI250,mpi,sb,100000,1024,3.51131
MI250,cxi-coarse,db,100000,2048,2.1245
MI250,cxi-coarse,sb,100000,2048,2.12114
MI250,cxi-fine,db,100000,2048,1.88133
MI250,cxi-fine,sb,100000,2048,1.90379
MI250,mpi,db,100000,2048,4.05416
MI250,mpi,sb,100000,2048,3.79326
MI250,cxi-coarse,db,100000,4096,2.22668
MI250,cxi-coarse,sb,100000,4096,2.20249
MI250,cxi-fine,db,100000,4096,1.99149
MI250,cxi-fine,sb,100000,4096,2.01774
MI250,mpi,db,100000,4096,3.95544
MI250,mpi,sb,100000,4096,3.77731
MI250,cxi-coarse,db,100000,8192,2.36608
MI250,cxi-coarse,sb,100000,8192,2.3458
MI250,cxi-fine,db,100000,8192,2.1259
MI250,cxi-fine,sb,100000,8192,2.15488
MI250,mpi,db,100000,8192,4.9001
MI250,mpi,sb,100000,8192,4.62969
MI250,cxi-coarse,db,100000,16384,2.67027
MI250,cxi-coarse,sb,100000,16384,2.62897
MI250,cxi-fine,db,100000,16384,2.43887
MI250,cxi-fine,sb,100000,16384,2.44173
MI250,mpi,db,100000,16384,5.04239
MI250,mpi,sb,100000,16384,4.65352
MI250,cxi-coarse,db,100000,32768,3.20518
MI250,cxi-coarse,sb,100000,32768,3.1812
MI250,cxi-fine,db,100000,32768,2.95656
MI250,cxi-fine,sb,100000,32768,2.98257
MI250,mpi,db,100000,32768,5.66109
MI250,mpi,sb,100000,32768,5.311
MI250,cxi-coarse,db,100000,65536,4.32908
MI250,cxi-coarse,sb,100000,65536,4.38425
MI250,cxi-fine,db,100000,65536,4.08725
MI250,cxi-fine,sb,100000,65536,4.129
MI250,mpi,db,100000,65536,6.89582
MI250,mpi,sb,100000,65536,6.55347
MI250,cxi-coarse,db,100000,131072,6.85017
MI250,cxi-coarse,sb,100000,131072,6.81602
MI250,cxi-fine,db,100000,131072,6.58168
MI250,cxi-fine,sb,100000,131072,6.56311
MI250,mpi,db,100000,131072,9.15873
MI250,mpi,sb,100000,131072,8.73936
MI250,cxi-coarse,db,100000,262144,11.4741
MI250,cxi-coarse,sb,100000,262144,11.4663
MI250,cxi-fine,db,100000,262144,11.1786
MI250,cxi-fine,sb,100000,262144,11.1746
MI250,mpi,db,100000,262144,13.4525
MI250,mpi,sb,100000,262144,13.185
MI250,cxi-coarse,db,100000,524288,20.9924
MI250,cxi-coarse,sb,100000,524288,20.9682
MI250,cxi-fine,db,100000,524288,20.542
MI250,cxi-fine,sb,100000,524288,20.5069
MI250,mpi,db,100000,524288,22.8978
MI250,mpi,sb,100000,524288,22.5085
MI250,cxi-coarse,db,10000,1048576,3.98893
MI250,cxi-coarse,sb,10000,1048576,3.98749
MI250,cxi-fine,db,10000,1048576,3.92741
MI250,cxi-fine,sb,10000,1048576,3.9251
MI250,mpi,db,10000,1048576,4.12458
MI250,mpi,sb,10000,1048576,4.08782
MI250,cxi-coarse,db,10000,2097152,7.73957
MI250,cxi-coarse,sb,10000,2097152,7.73703
MI250,cxi-fine,db,10000,2097152,7.67235
MI250,cxi-fine,sb,10000,2097152,7.67335
MI250,mpi,db,10000,2097152,7.77291
MI250,mpi,sb,10000,2097152,7.74874
MI250,cxi-coarse,db,10000,4194304,15.235
MI250,cxi-coarse,sb,10000,4194304,15.2334
MI250,cxi-fine,db,10000,4194304,15.1594
MI250,cxi-fine,sb,10000,4194304,15.1539
MI250,mpi,db,10000,4194304,15.2207
MI250,mpi,sb,10000,4194304,15.1808
MI250,cxi-coarse,db,10000,8388608,30.22
MI250,cxi-coarse,sb,10000,8388608,30.1953
MI250,cxi-fine,db,10000,8388608,30.1447
MI250,cxi-fine,sb,10000,8388608,30.1619
MI250,mpi,db,10000,8388608,30.072
MI250,mpi,sb,10000,8388608,30.0338
MI250,cxi-coarse,db,1000,16777216,6.02116
MI250,cxi-coarse,sb,1000,16777216,6.02183
MI250,cxi-fine,db,1000,16777216,6.00716
MI250,cxi-fine,sb,1000,16777216,6.00631
MI250,mpi,db,1000,16777216,6.01938
MI250,mpi,sb,1000,16777216,6.01594
MI250,cxi-coarse,db,1000,33554432,11.9992
MI250,cxi-coarse,sb,1000,33554432,12.0026
MI250,cxi-fine,db,1000,33554432,11.9928
MI250,cxi-fine,sb,1000,33554432,11.9941
MI250,mpi,db,1000,33554432,11.9463
MI250,mpi,sb,1000,33554432,11.9446
MI250,cxi-coarse,db,1000,67108864,23.9718
MI250,cxi-coarse,sb,1000,67108864,23.9693
MI250,cxi-fine,db,1000,67108864,23.9712
MI250,cxi-fine,sb,1000,67108864,23.9406
MI250,mpi,db,1000,67108864,23.7992
MI250,mpi,sb,1000,67108864,23.7906
MI250,cxi-coarse,db,1000,134217728,47.8732
MI250,cxi-coarse,sb,1000,134217728,47.8869
MI250,cxi-fine,db,1000,134217728,47.85
MI250,cxi-fine,sb,1000,134217728,47.8633
MI250,mpi,db,1000,134217728,47.5025
MI250,mpi,sb,1000,134217728,47.5023
MI250,cxi-coarse,db,1000,268435456,95.6215
MI250,cxi-coarse,sb,1000,268435456,95.579
MI250,cxi-fine,db,1000,268435456,95.6209
MI250,cxi-fine,sb,1000,268435456,95.6139
MI250,mpi,db,1000,268435456,94.9137
MI250,mpi,sb,1000,268435456,94.9097
MI250,cxi-coarse,db,100000,8,1.88842
MI250,cxi-coarse,sb,100000,8,1.86993
MI250,cxi-fine,db,100000,8,1.62595
MI250,cxi-fine,sb,100000,8,1.61733
MI250,mpi,db,100000,8,3.17452
MI250,mpi,sb,100000,8,3.0154
MI250,cxi-coarse,db,100000,16,1.89176
MI250,cxi-coarse,sb,100000,16,1.87469
MI250,cxi-fine,db,100000,16,1.64284
MI250,cxi-fine,sb,100000,16,1.62023
MI250,mpi,db,100000,16,3.03202
MI250,mpi,sb,100000,16,3.09598
MI250,cxi-coarse,db,100000,32,1.89615
MI250,cxi-coarse,sb,100000,32,1.88805
MI250,cxi-fine,db,100000,32,1.6456
MI250,cxi-fine,sb,100000,32,1.63043
MI250,mpi,db,100000,32,3.12095
MI250,mpi,sb,100000,32,3.12367
MI250,cxi-coarse,db,100000,64,1.91616
MI250,cxi-coarse,sb,100000,64,1.88785
MI250,cxi-fine,db,100000,64,1.65286
MI250,cxi-fine,sb,100000,64,1.63716
MI250,mpi,db,100000,64,3.25796
MI250,mpi,sb,100000,64,3.12485
MI250,cxi-coarse,db,100000,128,1.92901
MI250,cxi-coarse,sb,100000,128,1.90407
MI250,cxi-fine,db,100000,128,1.67153
MI250,cxi-fine,sb,100000,128,1.65382
MI250,mpi,db,100000,128,3.27987
MI250,mpi,sb,100000,128,3.2545
MI250,cxi-coarse,db,100000,256,1.9397
MI250,cxi-coarse,sb,100000,256,1.91462
MI250,cxi-fine,db,100000,256,1.68975
MI250,cxi-fine,sb,100000,256,1.6725
MI250,mpi,db,100000,256,3.31297
MI250,mpi,sb,100000,256,3.39363
MI250,cxi-coarse,db,100000,512,1.97823
MI250,cxi-coarse,sb,100000,512,1.94591
MI250,cxi-fine,db,100000,512,1.72776
MI250,cxi-fine,sb,100000,512,1.69456
MI250,mpi,db,100000,512,3.72347
MI250,mpi,sb,100000,512,3.35483
MI250,cxi-coarse,db,100000,1024,1.98623
MI250,cxi-coarse,sb,100000,1024,1.94881
MI250,cxi-fine,db,100000,1024,1.73055
MI250,cxi-fine,sb,100000,1024,1.71196
MI250,mpi,db,100000,1024,3.80258
MI250,mpi,sb,100000,1024,3.45374
MI250,cxi-coarse,db,100000,2048,2.03583
MI250,cxi-coarse,sb,100000,2048,2.00835
MI250,cxi-fine,db,100000,2048,1.78879
MI250,cxi-fine,sb,100000,2048,1.77252
MI250,mpi,db,100000,2048,4.14923
MI250,mpi,sb,100000,2048,3.59582
MI250,cxi-coarse,db,100000,4096,2.08885
MI250,cxi-coarse,sb,100000,4096,2.10007
MI250,cxi-fine,db,100000,4096,1.87107
MI250,cxi-fine,sb,100000,4096,1.85367
MI250,mpi,db,100000,4096,4.0484
MI250,mpi,sb,100000,4096,3.69177
MI250,cxi-coarse,db,100000,8192,2.24052
MI250,cxi-coarse,sb,100000,8192,2.2127
MI250,cxi-fine,db,100000,8192,1.98639
MI250,cxi-fine,sb,100000,8192,1.97326
MI250,mpi,db,100000,8192,4.60471
MI250,mpi,sb,100000,8192,4.23243
MI250,cxi-coarse,db,100000,16384,2.53846
MI250,cxi-coarse,sb,100000,16384,2.49431
MI250,cxi-fine,db,100000,16384,2.32668
