GPU,Backend,Buffering,Iters,Items,Time
MI300,cxi-coarse,sb,100000,1024,2.07406
MI300,cxi-coarse,db,100000,1024,1.92172
MI300,cxi-fine,sb,100000,1024,2.04095
MI300,cxi-fine,db,100000,1024,1.9202
MI300,mpi,sb,100000,1024,3.80317
MI300,mpi,db,100000,1024,3.74817
MI300,cxi-coarse,sb,100000,2048,2.1195
MI300,cxi-coarse,db,100000,2048,1.98783
MI300,cxi-fine,sb,100000,2048,2.18336
MI300,cxi-fine,db,100000,2048,1.97073
MI300,mpi,sb,100000,2048,4.3315
MI300,mpi,db,100000,2048,4.37295
MI300,cxi-coarse,sb,100000,4096,2.35407
MI300,cxi-coarse,db,100000,4096,2.22796
MI300,cxi-fine,sb,100000,4096,2.32381
MI300,cxi-fine,db,100000,4096,2.22243
MI300,mpi,sb,100000,4096,4.83286
MI300,mpi,db,100000,4096,4.50775
MI300,cxi-coarse,sb,100000,8192,2.63231
MI300,cxi-coarse,db,100000,8192,2.49202
MI300,cxi-fine,sb,100000,8192,4.65858
MI300,cxi-fine,db,100000,8192,2.62251
MI300,mpi,sb,100000,8192,6.66251
MI300,mpi,db,100000,8192,6.57012
MI300,cxi-coarse,sb,100000,16384,5.12934
MI300,cxi-coarse,db,100000,16384,3.43811
MI300,cxi-fine,sb,100000,16384,3.01114
MI300,cxi-fine,db,100000,16384,2.83169
MI300,mpi,sb,100000,16384,6.28011
MI300,mpi,db,100000,16384,5.9917
MI300,cxi-coarse,sb,100000,32768,3.4354
MI300,cxi-coarse,db,100000,32768,3.35946
MI300,cxi-fine,sb,100000,32768,3.5495
MI300,cxi-fine,db,100000,32768,3.3836
MI300,mpi,sb,100000,32768,6.70501
MI300,mpi,db,100000,32768,7.44876
MI300,cxi-coarse,sb,100000,65536,4.61896
MI300,cxi-coarse,db,100000,65536,4.50192
MI300,cxi-fine,sb,100000,65536,4.64814
MI300,cxi-fine,db,100000,65536,4.52722
MI300,mpi,sb,100000,65536,7.9982
MI300,mpi,db,100000,65536,7.50642
MI300,cxi-coarse,sb,100000,131072,6.8249
